Description;Category
"Hi,

Would you be able to help me do a case-study this Saturday around 2PM EST? It will take up to 3 hours.

It will require Excel or Sheets, and maybe a little bit of SQL/Python, but I think Excel/Sheets will suffice.

The Case Study will be on a business problem for a tech on-demand delivery startup, and the objective of the Case Study is to to break down a complex problem and present the information in a clear, concise and structured manner. 

How we will do it: We can get on a Google Meet call, and I will share my screen with you. You will guide me live on how to complete it. 

Please let me know if you can do it, and we can talk further.

Bonus if you have previously worked at Uber/DoorDash/Instacart etc. in an Operations Manager role, but it's not necessary.";Google Data Studio
"NITIAL PROJECT

Set up Monthly Report mimicking “Monthly Report Summary Table” in xlsx file
Set up Charts mimicking “Charts” in xlsx file
Set up a Search layout to query by date range database

ONGOING PROJECT
Ongoing support to enhance, manage and refine database

SOURCE DOCUMENTS

Google Folder https://drive.google.com/drive/folders/1CJmEsECf86q1nuquP8uu_EBw_MbpTn6m?usp=share_link

2 Files  ABOR Sold db.fmp12
Charts and Tables…xlsx";Report Writing
As a first step, you will implement the installation,configuration and deployment of EleutherAI/gpt-neox-20b using Langchain for various NLP tasks. Your first task will be to build a Docker container with all of the required assets to get Langchain and NEOX20B working on one A100 80GB. You do not need to worry about configuring the system the container will be running on. To evaluate your capabilities we want to see if you can get Langchain working successfully with the model to do very basic things. If this is a success then we will move on to many other tasks. This is not for running in the cloud but on prem. Once your docker container is built, everything should run out of the box on the A100.;Machine Learning Model
"The Upwork Finance Systems team is looking for a BI and Data Engineer.  This job requires implementing Financial Reports off the Data from a Marketplace & ERP in a Snowflake DW + Looker setup. Includes LookML development, implementing compelling Dashboards that can drill down and track KPIs.  

Must Haves (Required Skills): 

Proficient in any SQL preferably in an MPP environment
Proven ability in Looker development
Who can overlap with the first 4 hours of Pacific timings in the mornings

Nice to have:

Working knowledge of Python
Experience in FiveTran, DBT
Experienced in Data Warehousing as in creation of Data Marts and Access Control Mechanisms
Experience in dealing with the data of a large Marketplace or a FinTech setting
Familiarity with financial or accounting data";Data Analysis
"Our company is working on a government proposal involving synthetic video data, which will be used to train object detection and tracking networks. The synthetic data will be high-fidelity video using ray tracing, but there is an opportunity to make it more realistic using Domain Adaptation (DA). 

Even more importantly, we want to use DA to translate the video into thermal infrared (TIR), since there are few options for physics-based renderers with TIR.

The synthetic data will be in video form, so it's important to use video-to-video translation approaches that provide temporal consistency. 

There are two components of this effort:

1. Come up with a compelling approach and write it up in a proposal.
2. Be included as a performer on the proposal, as a subject matter expert (SME).

The ideal candidate would perform both components. We want to strengthen our proposal by including an SME, so this person would likely need to have publications in this area. Our team has significant expertise in computer vision and machine learning in general, but limited experience in video-to-video translation.";Generative Adversarial Network
"Mission : Ensure smooth transition of Analytics from existing team to future one. You will have to work with analytics stakeholders to understand scope/tasks/process/infrastructure/landscape, then you have to perform activities if needed (ensuring continuity) to finally transfer your knowledge to the new team (setting new way of working, working procedure…). You will be helped in this task by existing analytics team, process experts + future analytics team that will be hired and trained.

Skills :
 * Basics - Advanced Excel
 * Process data - VBA / macros, Alteryx, Access, SQL, Python
 * Connect data – FTP, API, Infopath, PowerApps
 * Display – Tableau, Power BI, Azure
 * Technology - Mobile technology

Soft skills
 * Fast learner
 * Ability to run a project/transition and see the big picture
 * Able to establish yourself as a key subject matter expert
 * Training and knowledge sharing
 * Good communicant, able to be straight to the point";Data Visualization
"Looking for someone to help me solve some problems. 

I am studying different equations and need someone to help with some. 

I will give you instructions so knowledge with Business Analytics is a must.

You'll be given a lot of Hypothesis Testing, Linear Regression and act. 

Should know how to use Excel and manual computation including histograms.

Turnaround time is crucial to me too. 

Someone will a lot of knowledge in this area will be best suited.

Thanks!";Data Analytics
"1. Good work experience in Azure Data Factory is needed, resource is responsible to build new pipelines and datasets as per the requirements
2. Optimize extraction queries for existing ADF copy pipelines.
3. Redesign existing ETLs on ADF pipelines
4. If the resource have Azure DevOps it will be helpful in the project implementation (not mandatory)SQL
1. Analyse, Recommend and implement performance improvement options on Azure DB (regular Deadlocks, Long running quires etc.,)
2. Creating new DB objects(Tables, Views and stored Procedures) to support ADF pipelines as per requirements
3. Experience in building DB backups will be add onCompetence summary
• Mandatory Competencies: Work Experience Azure Data Factory, SQL (PL-SQL Developer)
• Good to Have: Visual Studio, Azure DevOps, Power BI.";SQL
Looking for freelancer to implement following link https://towardsdatascience.com/enhancing-keybert-keyword-extraction-results-with-keyphrasevectorizers-3796fa93f4db for non-english language , based on structure of languages  few things will change , reuslts / discussion along with merhdology need to be mentioned;Data Science
"Se desea desarrollar un entorno de interconexiones entre Bases de Datos de distintas fuentes y formatos. Esto para tener registro local histórico de todos los datos y encontrar coincidencias para almacenarlas en una sola Base de Dato.

Lo que se debe realizar es (Ver Gráfico):
Analytics Pagina Web: Se debe configurar en nuestra cuenta el dominio principal y los subdominios en Google Analytics 4 (GA4) de manera que luego se vaya crear un método automático de migración de Datos de GA4 a una Base de Datos Local (Probablemente en PostgreSQL).
Api Graph de Facebook: Configura la fan page de la empresa y crear un método automático de migración de Datos de la Api a una Base de Datos Local (Probablemente en MongoBD).
Linkedin: Configurar la página de la empresa y crear un método automático de migración de Datos de la Api a una Base de Datos Local (Probablemente en MongoBD).
Página Web: se debe crear un método automático de migración de Datos de la Base de datos de la página web que se encuentra en Firebase a una Base de Datos Local (Probablemente en MongoBD).
Una vez almacenados los datos localmente, se deben crear reportes donde se tenga la relación entre las distintas Base de Datos y sus Distintos formatos (SQL, NO SQL), para ellos se plante usar Pentaho (salvo que se sugiera otra mejor herramienta o desarrollo)";Data Extraction
